"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-01","0","16","71","2075","36.8","45.6","27.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-02","2","8","81","2718","42.1","53.2","31.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-03","37","21","82","2903","60.2","71.1","49.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-04","70","33","85","3165","57.4","67.6","47.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-05","258","51","86","3167","71.0","79.2","62.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-06","621","60","92","3167","77.1","85.3","68.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-07","1109","67","96","0","80.7","90.5","70.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-08","1702","68","101","0","84.1","94.6","73.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-09","2036","52","93","0","76.1","86.3","65.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-10","2161","39","92","112","65.4","76.7","54.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-11","2168","22","82","483","52.8","65.0","40.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2007-12","2168","14","69","1289","39.0","49.0","29.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-01","1","14","75","2062","40.1","52.2","27.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-02","1","13","78","2729","42.0","54.4","29.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-03","10","15","85","3122","52.6","65.2","40.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-04","45","31","88","3319","59.6","72.3","46.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-05","278","41","96","3354","71.3","82.7","60.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-06","731","57","96","3354","80.1","90.4","69.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-07","1303","67","105","0","83.5","95.3","71.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-08","1801","65","106","0","81.0","91.4","70.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-09","1995","49","91","2","71.4","82.3","60.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-10","2041","31","86","165","61.2","74.2","48.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-11","2045","25","83","591","51.0","63.4","38.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2008-12","2048","11","76","1385","39.5","51.8","27.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-01","0","6","76","2245","37.2","50.2","24.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-02","0","20","79","2720","48.1","60.8","35.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-03","22","21","85","3087","53.8","65.7","42.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-04","69","22","91","3296","59.6","72.3","46.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-05","181","48","90","3358","66.6","76.7","56.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-06","637","55","101","3358","80.2","91.2","69.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-07","1174","58","105","0","82.3","94.4","70.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-08","1615","61","99","0","79.2","89.7","68.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-09","1808","48","95","20","70.7","80.3","61.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-10","1815","36","82","318","55.7","64.7","46.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-11","1817","27","77","648","54.0","65.0","43.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2009-12","1817","11","70","1578","35.0","45.3","24.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-01","0","6","68","2476","36.0","45.2","26.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-02","0","20","62","3272","36.6","44.0","29.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-03","8","25","88","3758","49.6","60.3","38.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-04","48","36","83","3895","61.8","72.4","51.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-05","218","44","93","3933","69.2","80.2","58.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-06","705","64","96","3933","81.2","91.1","71.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-07","1248","69","100","0","82.5","92.2","72.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-08","1872","59","104","0","85.1","96.9","73.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-09","2209","50","95","7","76.0","86.2","65.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-10","2242","34","87","96","63.2","77.7","48.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-11","2245","20","79","514","51.2","63.4","38.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2010-12","2245","14","77","1262","40.9","52.1","29.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-01","0","9","76","2160","36.0","49.4","22.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-02","7","-5","80","2830","41.3","53.7","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-03","39","25","88","3214","53.6","65.6","41.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-04","139","33","93","3328","64.5","78.5","50.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-05","331","36","94","3398","68.9","80.2","57.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-06","903","62","104","3398","84.1","97.2","71.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-07","1654","71","110","0","89.2","102.5","75.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-08","2396","68","110","0","89.0","102.2","75.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-09","2637","46","102","18","72.4","85.9","58.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-10","2710","34","88","151","63.1","75.8","50.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-11","2715","24","80","596","50.3","61.3","39.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2011-12","2715","15","71","1336","41.1","51.1","31.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-01","0","17","70","1997","43.7","56.3","31.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-02","0","18","74","2585","44.7","55.1","34.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-03","50","29","83","2765","60.8","71.8","49.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-04","135","44","89","2841","65.3","75.1","55.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-05","370","48","92","2846","72.4","82.8","62.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-06","789","53","104","2852","78.8","89.9","67.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-07","1466","65","109","0","86.9","99.9","73.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-08","2056","61","113","0","84.0","96.5","71.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-09","2387","50","105","9","75.7","88.0","63.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-10","2445","30","88","202","60.6","72.0","49.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-11","2457","23","84","554","53.7","67.4","40.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2012-12","2459","13","79","1251","42.6","53.5","31.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-01","2","15","74","1981","41.5","53.0","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-02","2","19","71","2607","42.6","53.8","31.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-03","4","18","82","3093","49.4","61.4","37.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-04","26","29","85","3399","55.5","67.0","44.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-05","165","34","89","3486","66.7","77.0","56.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-06","562","56","99","3486","78.2","88.1","68.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-07","1078","60","103","0","81.6","92.2","71.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-08","1588","64","103","0","81.5","92.2","70.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-09","1943","49","98","4","76.7","88.9","64.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-10","2025","32","90","170","62.3","73.3","51.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-11","2027","19","77","674","48.3","58.9","37.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2013-12","2027","5","69","1548","36.8","47.7","25.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-01","0","4","75","2377","38.3","51.5","25.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-02","0","9","75","3121","38.4","49.3","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-03","10","6","86","3640","48.6","62.0","35.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-04","63","27","90","3811","61.1","74.5","47.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-05","280","40","97","3852","70.7","83.0","58.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-06","672","59","95","3852","78.1","87.2","68.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-07","1113","62","100","0","79.2","89.4","69.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-08","1640","65","101","0","82.0","94.9","69.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-09","1951","50","98","11","75.0","86.3","63.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-10","2083","38","94","91","66.7","79.7","53.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-11","2083","17","80","640","46.7","58.4","34.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2014-12","2083","16","67","1327","42.9","49.9","35.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-01","0","11","79","2087","40.5","51.3","29.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-02","0","16","80","2809","39.2","51.2","27.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-03","9","10","86","3170","53.7","65.2","42.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-04","58","37","86","3291","62.6","72.9","52.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-05","167","50","85","3325","67.4","76.1","58.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-06","586","55","96","3325","79.0","89.6","68.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-07","1101","64","98","0","81.6","91.9","71.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-08","1549","50","102","0","79.4","90.4","68.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-09","1922","57","99","0","77.4","89.3","65.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-10","1994","41","93","93","64.3","75.7","53.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-11","1995","22","78","496","51.6","62.7","40.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2015-12","1995","22","74","1107","45.3","56.8","33.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-01","0","16","76","1912","39.1","49.9","28.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-02","4","20","83","2387","48.7","61.8","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-03","11","27","84","2688","55.5","67.9","43.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-04","39","32","87","2802","62.1","74.0","50.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-05","179","40","90","2865","67.5","77.8","57.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-06","606","57","97","2865","79.2","90.2","68.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-07","1171","67","100","0","83.2","94.1","72.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-08","1695","57","101","0","81.9","93.1","70.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-09","2022","48","97","4","75.8","86.9","64.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-10","2153","42","89","49","67.8","79.2","56.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-11","2175","27","86","331","56.3","68.0","44.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2016-12","2175","4","73","1120","39.6","50.6","28.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-01","0","-3","79","1846","41.6","54.3","28.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-02","8","23","89","2246","51.0","63.6","38.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-03","53","28","91","2535","57.1","69.5","44.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-04","93","37","85","2686","61.3","72.1","50.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-05","213","41","95","2737","67.2","79.7","54.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-06","598","54","96","2737","77.8","88.7","67.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-07","1156","66","103","0","83.0","94.9","71.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-08","1539","61","99","0","77.3","87.0","67.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-09","1786","51","94","4","73.1","84.0","62.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-10","1871","27","89","184","61.9","73.9","49.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-11","1875","28","82","562","52.6","64.3","40.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2017-12","1875","11","76","1341","39.9","50.3","29.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-01","0","2","70","2205","37.1","49.8","24.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-02","4","10","80","2899","40.3","52.1","28.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-03","9","28","79","3259","53.5","65.7","41.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-04","31","24","87","3599","54.4","67.7","41.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-05","315","52","93","3599","74.2","85.0","63.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-06","753","59","97","3599","79.6","90.2","68.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-07","1284","63","109","0","82.1","92.9","71.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-08","1720","62","97","0","79.1","89.1","69.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-09","1976","46","92","13","73.1","81.1","65.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-10","2040","35","87","239","59.8","68.8","50.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-11","2040","17","71","846","44.8","57.1","32.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2018-12","2040","20","63","1611","40.3","49.6","31.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-01","0","15","65","2468","37.4","47.4","27.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-02","0","15","70","3187","39.3","47.8","30.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-03","0","9","75","3742","47.1","57.9","36.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-04","27","35","86","3896","60.8","72.0","49.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-05","141","42","85","3953","66.8","76.8","56.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-06","446","56","95","3953","75.1","85.5","64.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-07","947","59","100","0","81.2","92.8","69.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-08","1475","66","103","0","82.0","92.8","71.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-09","1889","66","95","0","78.8","88.8","68.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-10","1945","23","89","303","57.0","69.2","44.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","2019-11","1945","15","76","855","46.6","59.5","33.7"
